I,f0,Ql,Qi,Qc,phi,delay,npoints
0.45999999999999996,4884491837.94514,38.30793046628639,58.56191045121732,110.76270417997918,0.11654202513179066,,1201
0.47,4934839777.159131,25.844641046212505,39.05386090453327,76.41125118457123,0.0520003812309306,,1201
0.48,5043946345.231082,48.22722479323889,77.69510116933175,127.15606179435237,-0.3324495635333898,,1201
0.49,5048131768.458618,63.76500530676268,120.52556932398127,135.39882311974353,-0.17542498287944908,,1201
0.5,5109706588.194468,76.3391641334609,138.94191146079774,169.42881641539367,-0.36296513130312374,,1201
0.5100000000000001,5163281144.414143,91.71222952250862,169.57239509090562,199.74093691846787,-0.4809010708758547,,1201
0.5200000000000001,5194497297.294743,107.39225506953082,228.45681887966148,202.65627028546865,-0.4710767699604387,,1201
0.5300000000000001,5201256554.179836,152.41668565722085,527.6106628724193,214.33358059023215,-0.37430161108278653,,1201
0.5400000000000001,5229980031.656141,154.85989409612355,417.81274109447924,246.06098612922318,-0.49687112641743464,,901
0.5499999999999999,5241611763.803217,160.39860099628828,523.0019859475398,231.35136169659268,-0.391344822310221,,901
0.5599999999999999,5255035877.966135,146.90834819712077,489.7092967033932,209.86635010478346,-0.3191366029587885,,901
0.57,5269418116.806561,164.71536829170228,554.2124950118048,234.37224299046716,-0.30741917286484916,,901
0.5800000000000001,5286536688.115873,145.80365458843806,430.42134348225574,220.49579959870672,-0.3272577670850821,,901
0.5900000000000001,5298844924.4984665,150.67747744163927,491.4622690760914,217.29929498016716,-0.28377485351359294,,901
0.6000000000000001,5308871714.003462,164.14517530233945,608.8146236283536,224.7376866081347,-0.2961132511594974,,901
0.6100000000000001,5315809145.60761,167.51592564970198,637.8933172038833,227.17352367659217,-0.2510518167899168,,901
0.6200000000000001,5323886471.692506,139.54925034369725,501.66134032467585,193.32815972093135,-0.2298524183090214,,901
0.6300000000000001,5330557314.848025,142.95519233748576,550.6450937014619,193.08198465653953,-0.208882884001419,,901
0.6400000000000002,5337050836.879473,141.86110742651215,577.3929147720739,188.06800543226234,-0.2257950335114446,,901
0.6500000000000002,5344053554.534256,136.9750006232577,527.5354532154475,185.0140446975236,-0.2270478129765151,,901
0.6600000000000003,5348505117.702802,148.91063353532448,580.2800362775087,200.31524554287716,-0.20690145131721982,,901
0.6699999999999998,5354297497.031552,141.39028093823296,564.9443189260392,188.5890082571022,-0.20069211764546607,,901
0.6799999999999998,5359335845.138329,140.85651475480637,525.3273157228426,192.46136406694038,-0.1851125716325483,,901
0.6899999999999998,5366886867.085283,123.75668400873523,430.16720231230227,173.7409891221268,-0.237021520885258,,901
0.6999999999999998,5371599344.987989,126.49243664123898,434.1642255809629,178.49699832879912,-0.2536556237789881,,901
0.7099999999999999,5374894338.571982,130.4567672699698,468.9117614030385,180.7410544619023,-0.2430268695880169,,901
0.72,5378210858.731107,132.15763260205276,488.9867160007031,181.10442720922467,-0.2660984742549547,,901
0.73,5380108012.917044,137.6067469837908,512.970707872125,188.0527641524292,-0.232290567454657,,901
0.74,5381469766.808095,142.41182566958878,548.2992071733624,192.3792033579656,-0.1965341646449324,,901
0.75,5384236589.77041,133.53707876405784,495.9194182068879,182.74519258178822,-0.22819226764162728,,901
0.76,5386410056.174525,135.72670922098231,485.9488346877145,188.32686853817822,-0.24434085499947983,,901
0.77,5388467983.644038,138.1404409462445,530.5274529064964,186.772992083681,-0.22091903744414923,,901
0.7800000000000001,5390250177.613321,134.3701572256755,521.964055490786,180.95329290884635,-0.20623791224461263,,901
0.7900000000000001,5393409612.211268,127.61666928914947,453.92426508722184,177.52667595210912,-0.22024659358612708,,901
